comment,play,title,aid,length
3432,2012457,华农兄弟：受邀参加第十七届中国国际农产品交易会，很多好吃的，带大家看一下,76309064,03:51
4549,2222663,华农兄弟：小狗又胖了，狗妈妈又怀孕了，这下真的一地都是狗了,75794772,06:27
3951,2827430,华农兄弟：好久没吃肉了，刚好大婶养了好多鸡，抓一只来做叫花鸡,75667524,11:17
5463,2086728,华农兄弟：看一下我们家的脐橙熟了没有，顺便摘一点回去吃,75258947,07:30
3600,1820956,华农兄弟：捡点拐枣泡酒，路过兄弟家的玉米地，搞点来喂猪,75030623,08:30
3564,2082313,华农兄弟：把兄弟家的竹鼠，通通搬到我们新场房去，还有花竹鼠哦,74874916,05:44
3942,1793302,华农兄弟：隔壁老王家的柿子快熟了，摘点来尝一下，顺便再去摘点拿藤果,74576892,11:23
25693,2021045,华农兄弟：参观一下5000亩的赣南脐橙产业园，再找兄弟要一点点脐橙送粉丝,73661009,15:28
4301,1803305,华农兄弟：山上的一些野果熟了，叫上兄弟们一起去摘，边摘边吃,73522606,09:45
5782,2837886,华农兄弟：竹鼠和老鼠放一起会怎么样？上山抓只老鼠回来试一下,73410190,10:24
3961,1797192,华农兄弟：发现在路边好多青菜，摘点来吃，顺便再摘点黄豆和萝卜,73088813,05:37
2729,1805169,华农兄弟：帮房东把山上的小竹子砍掉，拿去喂我们家的竹鼠,73086298,06:27
2453,1688807,华农兄弟：场里的铁门烂了，我们用铁丝绑一下，避免小狗到处乱跑,71842624,03:11
2872,1797986,华农兄弟：看下写名字的拿藤果熟了没有，顺便摘点南瓜和玉米,71665707,07:37
4755,2196618,华农兄弟：摘2个西红柿尝一下，顺便摘点给小猪吃，再抓它称一下,71535433,07:12
5253,2401195,华农兄弟：兄弟家的鱼又跑出来了，我们去钓一下，顺便网一点来吃,71359004,09:51
2192,1562996,华农兄弟：带老弟上山砍竹子，顺便看一下山上的野果熟了没有,71125027,05:52
3963,2371149,华农兄弟：去河边搞了点沙子，叫老弟来炒烫皮，我来捉小猪称一下,70995454,10:49
5803,2873113,华农兄弟：老婆最近心情不好，摘点草珠子，做一串项链给她,70598636,07:13
3936,1751795,华农兄弟：挖点摄影小哥家的番薯来吃，红红的，看起来很好吃,70450734,07:03
5105,2044499,华农兄弟：搞点邻居大婶家的黄豆来吃，放点盐煮一煮，很嫩很好吃,70379199,06:08
3131,1759613,华农兄弟：去新场地做一些竹鼠池，顺便去旁边的小河看一下,70216245,04:54
5050,2743239,华农兄弟：狗子半岁了，抓来称一下，看有多重？,69935162,06:16
4117,2756041,华农兄弟：这只小香猪，胖得跟猪一样，其它都瘦了,69726730,03:20
4015,1729452,华农兄弟：出生10几天的小胖狗睁眼了，小肥猪已经到处跑了,49328879,08:04
5045,2297263,华农兄弟：带个小箩筐巡一下兄弟家的山，看有什么好吃的,49138794,03:26
3719,1571625,华农兄弟：拿一点兄弟家的红薯喂母猪，顺便称一下小猪崽多重了,49046667,05:26
4150,1844370,华农兄弟：称一下小狗狗多重，顺便看下小白跟西西，再给小粉发一个老婆,48762991,04:51
4536,1657137,华农兄弟：母猪生了9只可爱的小猪，弄点好吃的给它补一下,48332153,04:15
3777,1666384,华农兄弟：怀孕好几个月的香猪终于生了，一下生了9只小香猪,48227749,02:31
7044,2309814,华农兄弟：狗狗生了6只可爱的小狗，煮点猪肉给它吃,48146498,04:38
